Period,Pris
2013-12-30,34342
2014-01-06,35899
2014-01-13,37615
2014-01-20,36845
2014-01-27,36996
2014-02-03,37945
2014-02-10,35198
2014-02-17,34264
2014-02-24,36614
2014-03-03,36178
2014-03-10,37054
2014-03-17,38016
2014-03-24,38847
2014-03-31,34520
2014-04-07,36609
2014-04-14,38725
2014-04-21,35945
2014-04-28,42401
2014-05-05,35986
2014-05-12,37953
2014-05-19,38105
2014-05-26,40366
2014-06-02,35078
2014-06-09,38226
2014-06-16,36250
2014-06-23,30498
2014-06-30,31721
2014-07-07,35695
2014-07-14,35556
2014-07-21,38644
2014-07-28,36593
2014-08-04,38898
2014-08-11,39210
2014-08-18,39773
2014-08-25,39211
2014-09-01,38552
2014-09-08,38852
2014-09-15,36864
2014-09-22,38497
2014-09-29,40047
2014-10-06,39767
2014-10-13,38049
2014-10-20,40596
2014-10-27,40437
2014-11-03,40758
2014-11-10,38205
2014-11-17,40931
2014-11-24,39851
2014-12-01,37796
2014-12-08,41362
2014-12-15,35678
2014-12-22,40652
2014-12-29,37250
2015-01-05,39172
2015-01-12,39031
2015-01-19,37749
2015-01-26,41066
2015-02-02,39853
2015-02-09,36972
2015-02-16,38843
2015-02-23,41439
2015-03-02,41855
2015-03-09,42510
2015-03-16,41422
2015-03-23,38107
2015-03-30,39850
2015-04-06,42427
2015-04-13,41702
2015-04-20,41869
2015-04-27,43523
2015-05-04,41078
2015-05-11,43154
2015-05-18,40899
2015-05-25,43035
2015-06-01,41510
2015-06-08,38824
2015-06-15,43664
2015-06-22,39843
2015-06-29,38861
2015-07-06,39993
2015-07-13,37825
2015-07-20,35146
2015-07-27,38363
2015-08-03,41037
2015-08-10,43511
2015-08-17,42355
2015-08-24,44427
2015-08-31,45186
2015-09-07,43396
2015-09-14,42859
2015-09-21,43810
2015-09-28,46515
2015-10-05,42929
2015-10-12,43359
2015-10-19,40538
2015-10-26,44529
2015-11-02,44920
2015-11-09,46993
2015-11-16,46807
2015-11-23,40982
2015-11-30,43702
2015-12-07,37397
2015-12-14,42365
2015-12-21,39293
2015-12-28,41780
2016-01-04,44902
2016-01-11,45912
2016-01-18,43762
2016-01-25,46950
2016-02-01,42488
2016-02-08,46129
2016-02-15,45799
2016-02-22,43208
2016-02-29,48036
2016-03-07,43572
2016-03-14,37775
2016-03-21,43360
2016-03-28,45010
2016-04-04,45756
2016-04-11,45655
2016-04-18,46115
2016-04-25,45290
2016-05-02,48062
2016-05-09,46768
2016-05-16,45678
2016-05-23,47143
2016-05-30,45619
2016-06-06,42783
